iter	Passed	Remaining
662	808	410
663	809	409
664	810	408
665	810	406
666	811	405
667	812	403
668	813	402
669	813	400
670	814	399
671	815	398
672	816	396
673	817	395
674	818	394
675	819	392
676	819	391
677	820	389
678	821	388
679	822	386
680	822	385
681	823	383
682	823	382
683	824	380
684	825	379
685	830	380
686	837	381
687	843	382
688	845	381
689	846	380
690	847	379
691	849	378
692	850	376
693	851	375
694	853	374
695	854	373
696	855	372
697	857	370
698	858	369
699	859	368
700	861	367
701	862	365
702	863	364
703	865	363
704	866	362
705	867	361
706	868	359
707	869	358
708	871	357
709	872	356
710	873	355
711	874	353
712	876	352
713	877	351
714	878	350
715	880	349
716	881	347
717	882	346
718	883	345
719	885	344
720	886	343
721	888	341
722	889	340
723	890	339
724	891	338
725	892	336
726	893	335
727	894	334
728	895	332
729	896	331
730	897	330
731	897	328
732	898	327
733	899	326
734	900	324
735	901	323
736	902	321
737	902	320
738	903	319
739	904	317
740	904	316
741	905	314
742	906	313
743	907	312
744	908	310
745	908	309
746	909	308
747	910	306
748	910	305
749	911	303
750	911	302
751	912	300
752	912	299
753	913	298
754	913	296
755	914	295
756	915	293
757	915	292
758	921	292
759	928	293
760	934	293
761	935	292
762	936	290
763	936	289
764	937	288
765	938	286
766	938	285
767	939	283
768	940	282
769	940	281
770	941	279
771	942	278
772	942	276
773	943	275
774	944	274
775	944	272
776	945	271
777	946	269
778	946	268
779	947	267
780	947	265
781	948	264
782	949	263
783	949	261
784	950	260
785	951	258
786	951	257
787	952	256
788	953	254
789	953	253
790	954	252
791	955	250
792	956	249
793	956	248
794	957	246
795	957	245
796	958	244
797	959	242
798	960	241
799	960	240
800	961	238
801	962	237
802	962	236
803	963	234
804	964	233
805	964	232
806	965	230
807	966	229
808	967	228
809	967	227
810	968	225
811	969	224
812	970	223
813	970	221
814	971	220
815	971	219
816	972	217
817	973	216
818	973	215
819	974	213
820	975	212
821	976	211
822	976	210
823	977	208
824	978	207
825	978	206
826	979	204
827	979	203
828	980	202
829	981	200
830	981	199
831	988	199
832	998	200
833	1000	199
834	1001	197
835	1002	196
836	1003	195
837	1003	194
838	1004	192
839	1005	191
840	1006	190
841	1007	188
842	1007	187
843	1008	186
844	1009	185
845	1009	183
846	1010	182
847	1011	181
848	1011	179
849	1012	178
850	1013	177
851	1014	176
852	1014	174
853	1015	173
854	1016	172
855	1016	171
856	1017	169
857	1018	168
858	1019	167
859	1020	166
860	1021	164
861	1022	163
862	1023	162
863	1023	161
864	1024	159
865	1025	158
866	1026	157
867	1035	157
868	1036	156
869	1037	154
870	1037	153
871	1038	152
872	1039	151
873	1040	149
874	1040	148
875	1041	147
876	1042	146
877	1043	144
878	1044	143
879	1044	142
880	1045	141
881	1046	139
882	1046	138
883	1047	137
884	1048	136
885	1048	134
886	1049	133
887	1053	132
888	1060	132
889	1068	132
890	1069	130
891	1069	129
892	1070	128
893	1071	127
894	1071	125
895	1072	124
896	1073	123
897	1074	122
898	1075	120
899	1076	119
900	1076	118
901	1077	117
902	1078	115
903	1078	114
904	1079	113
905	1080	112
906	1081	110
907	1082	109
908	1083	108
909	1084	107
910	1085	106
911	1085	104
912	1086	103
913	1087	102
914	1088	101
915	1089	99
916	1090	98
917	1091	97
918	1092	96
919	1092	95
920	1093	93
921	1094	92
922	1095	91
923	1096	90
924	1096	88
925	1097	87
926	1098	86
927	1099	85
928	1099	84
929	1100	82
930	1101	81
931	1102	80
932	1103	79
933	1104	78
934	1104	76
935	1105	75
936	1106	74
937	1106	73
938	1107	71
939	1108	70
940	1108	69
941	1109	68
942	1110	67
943	1111	65
944	1112	64
945	1113	63
946	1113	62
947	1114	61
948	1115	59
949	1115	58
950	1116	57
951	1116	56
952	1117	55
953	1119	53
954	1125	53
955	1131	52
956	1137	51
957	1138	49
958	1138	48
959	1139	47
960	1141	46
961	1142	45
962	1143	43
963	1143	42
964	1144	41
965	1145	40
966	1146	39
967	1147	37
968	1148	36
969	1149	35
970	1150	34
971	1150	33
972	1151	31
973	1152	30
974	1153	29
975	1154	28
976	1155	27
977	1156	26
978	1157	24
979	1158	23
980	1159	22
981	1159	21
982	1160	20
983	1161	18
984	1162	17
985	1162	16
986	1164	15
987	1165	14
988	1165	12
989	1166	11
990	1167	10
991	1168	9
992	1169	8
993	1170	7
994	1171	5
995	1172	4
996	1173	3
997	1173	2
998	1174	1
999	1175	0
